month	WAG_M	WAG_M_SA	WAG_C_M
1993 1	100,00	108,6	15,3
2	99,04	111,5	19,1
3	101,77	114,2	23,6
4	110,05	116,4	30,6
5	115,47	117,1	37,5
6	120,65	115,0	47,4
7	116,38	111,1	56
8	107,85	106,5	65,4
9	108,93	102,7	80,9
10	103,39	100,9	93
11	99,35	101,1	101,5
12	119,75	102,6	141,2
1994 1	97,00	104,1	134,2
2	94,09	104,6	144,7
3	99,74	103,7	164,8
4	95,75	102,1	171,5
5	95,84	100,5	183,5
6	102,55	99,4	207,5
7	103,58	98,5	221
8	104,61	97,6	232,8
9	105,66	96,0	253,2
10	96,15	93,1	265
11	89,42	88,9	281,6
12	96,57	83,6	354,2
1995 1	69,53	78,3	302,6
2	66,75	74,2	321
3	68,75	71,6	361,5
4	67,38	70,4	386,2
5	69,40	69,8	429,9
6	72,87	69,6	480,6
7	72,14	69,5	499,5
8	71,85	70,1	520,6
9	74,73	71,4	564,5
10	75,47	73,2	594,5
11	74,79	75,3	615,7
12	86,76	77,5	735,5
1996 1	73,75	79,5	654,8
2	75,22	80,9	684,4
3	79,74	81,6	745
4	78,14	81,7	746,5
5	80,48	81,6	779,3
6	85,39	81,8	837,2
7	85,39	82,2	842,8
8	84,54	82,6	831
9	86,23	83,0	848,1
10	84,51	83,3	843,3
11	81,97	83,5	835
12	98,37	83,8	1017
1997 1	76,73	84,1	812
2	76,73	84,3	821
3	82,86	84,3	903
4	82,03	84,1	901
5	83,02	84,0	920
6	88,66	84,1	993,2
7	88,40	84,9	999,1
8	86,98	86,2	982,3
9	91,16	87,9	1026,2
10	89,15	89,3	1006,1
11	87,91	90,4	997,8
12	106,01	91,1	1214,8
1998 1	83,01	91,2	988
2	82,51	90,7	1000
3	88,29	89,6	1059
4	86,52	88,2	1040
5	86,26	86,4	1047
6	92,21	83,9	1122
7	90,74	80,6	1110
8	83,48	76,1	1052
9	63,44	71,1	1112
10	60,97	65,9	1123
11	59,81	61,3	1164
12	67,89	57,6	1482
1999 1	49,22	55,2	1167
2	48,77	54,1	1199
3	54,48	54,1	1385
4	54,48	54,6	1423
5	55,13	55,1	1472
6	59,38	55,5	1626
7	57,54	55,8	1618
8	56,45	56,6	1608
9	58,20	57,9	1684
10	58,43	59,6	1716
11	60,18	61,5	1789
12	74,87	63,2	2283
2000 1	60,57	64,5	1830
2	60,20	65,2	1839
3	65,56	65,7	2018
4	65,69	66,1	2039
5	66,41	66,5	2101
6	70,67	67,0	2294
7	69,82	67,8	2302
8	68,77	68,9	2289
9	70,21	70,2	2367
10	70,57	71,5	2425
11	71,91	72,9	2508
12	85,42	74,3	3025
2001 1	75,43	75,6	2733
2	71,58	76,8	2655
3	78,60	77,6	2964
4	76,00	78,3	2923
5	78,06	79,3	3054
6	82,51	80,7	3284
7	84,07	82,5	3364
8	84,33	84,2	3376
9	84,41	85,6	3405
10	86,27	87,1	3515
11	86,61	88,5	3578
12	108,00	89,9	4541
2002 1	87,16	91,0	3760
2	85,33	91,8	3725
3	91,39	92,5	4031
4	92,03	93,4	4110
5	92,12	94,5	4187
6	97,55	95,7	4460
7	99,70	96,9	4597
8	97,71	98,0	4511
9	97,51	98,9	4521
10	99,17	99,3	4646
11	98,77	99,4	4694
12	118,92	99,5	5738
2003 1	95,85	99,6	4696
2	94,41	100,1	4701
3	98,95	101,1	4986
4	100,13	102,3	5100
5	101,63	103,5	5221
6	107,22	104,7	5550
7	107,87	105,9	5615
8	106,03	107,3	5491
9	106,99	109,2	5556
10	111,91	111,0	5864
11	113,14	112,6	5990
12	137,24	113,9	7344
2004 1	108,01	114,9	5932
2	110,49	115,7	6141
3	114,80	116,5	6428
4	114,11	117,1	6448
5	114,57	117,8	6524
6	122,02	118,5	7003
7	120,55	119	6982
8	118,38	119,1	6873
9	118,74	119	6918
10	117,31	119,3	6908
11	118,37	120,3	7046
12	146,18	121,9	8799
2005 1	118,26	123,7	7346
2	118,74	125,3	7465
3	127,17	126,3	8093
4	124,50	127	8002
5	124,74	127,8	8089
6	132,85	129,2	8637
7	132,19	131,2	8651
8	132,98	133,4	8616
9	135,91	135,2	8829
10	133,46	136,5	8701
11	135,86	137,3	8931
12	170,78	138,1	11319
2006 1	131,16	138,9	9016
2	132,47	140,1	9255
3	140,68	141,8	9914
4	139,28	144,2	9833
5	144,43	147	10257
6	155,99	149,8	11106
7	152,55	152,2	10883
8	152,10	154,2	10853
9	155,75	155,9	11127
10	154,50	157,7	11046
11	157,28	159,8	11303
12	196,92	162,4	14263
2007 1	156,75	165,2	11430
2	159,41	168	11757
3	168,02	170,4	12448
4	167,51	172,4	12494
5	170,53	174	12787
6	181,27	175,2	13712
7	177,65	176,1	13546
8	173,92	177,3	13270
9	177,92	179,7	13677
10	179,16	183	13986
11	185,43	186,6	14656
12	232,72	189,7	18591
2008 1	179,19	192,2	14771
2	184,39	194,1	15354
3	192,13	195,8	16172
4	194,06	197,4	16538
5	192,89	198,8	16643
6	203,31	200,2	17715
7	203,31	201,6	17758
8	197,61	202,6	17244
9	201,76	202,5	17739
10	198,94	201,2	17643
11	196,75	199,4	17598
12	240,63	197,6	21681
2009 1	185,76	196	17119
2	182,98	194,6	17098
3	191,03	193,4	18129
4	188,35	192,5	18009
5	187,22	192,2	18007
6	199,02	192,6	19247
7	194,24	193,4	18872
8	189,19	194,7	18335
9	194,30	196,2	18838
10	193,72	197,6	18798
11	197,40	198,8	19215
12	245,37	199,9	23827
2010 1	188,20	201	18938
2	188,38	202	19017
3	202,51	202,7	20589
4	199,88	203,3	20358
5	198,28	204,1	20279
6	212,36	205	21795
7	207,05	205,7	21325
8	200,4	205,8	20753,0
9	201,2	205,4	20999,0
10	199,8	205,1	20970,0
11	203,2	204,8	21486,0
12	262,1	204,5	28027,0
2011 1	190,8	204,4	20669,0
2	189,1	204,4	20680,0
3	206,0	205,0	22673,0
4	203,7	206,0	22519,0
5	204,7	207,4	22779,0
6	216,4	209,2	24137,0
7	211,6	211,5	23598,0
8	207,6	213,7	23051,0
9	211,3	215,8	23468,0
10	211,5	217,8	23602,0
11	216,8	220,2	24296,0
12	291,4	223,0	32809,0
2012 1	210,4	225,4	23746,0
2	212,1	226,9	24036,0
3	224,2	227,8	25487,0
4	226,2	228,6	25800,0
5	230,5	229,2	26385,0
6	238,1	229,5	27494,0
7	228,6	229,4	26684,0
8	220,1	229,5	25718,0
9	221,2	230,4	25996,0
10	227,0	232,3	26803,0
11	231,7	234,6	27448,0
12	306,1	236,4	36450,0
2013 1	222,6	237,9	26840,0
2	220,3	239,3	26620,0
3	236,9	240,8	28693,0
4	246,8	242,2	30026,0
5	242,9	243,4	29723,0
6	252,3	244,3	30986,0
7	244,3	244,9	30229,0
8	236,4	245,3	29226,0
9	236,9	246	29346,0
10	241,4	247,3	30069,0
11	243,3	249,1	30290,0
12	316,8	250,8	39648,0
2014 1	235,4	252	29535,0
2	231,6	252,4	29255,0
3	247,6	252	31486,0
4	257,0	251,2	32947,0
5	249,6	250,4	32272,0
6	259,8	249,8	33726,0
7	249,2	249,7	32515,0
8	235,2	250,2	30763,0
9	242,5	250,8	31929,0
10	244,7	250	32439,0
11	242,2	247,4	32546,0
12	306,4	243,1	42136,0
2015 1	218,5	238,3	30929,0
2	216,9	234,6	31325,0
3	224,3	232,4	32642,0
4	235,3	231,7	34377,0
5	234,8	231,5	34380,0
6	241,4	230,9	35395,0
7	229,4	230,2	33901,0
8	217,2	229,4	32176,0
9	220,9	228,6	32911,0
10	222,2	228,1	33357,0
11	220,7	227,9	33347,0
12	285,1	228,3	43408,0
2016 1	211,8	228,8	32660,0
2	218,6	229,6	33873,0
3	228,0	230,5	35501,0
4	233,2	230,9	36497,0
5	237,2	231,2	37270,0
6	243,6	231,6	38447,0
7	226,1	232	35888,0
8	222,7	232,2	35405,0
9	224,9	232,5	35843,0
10	223,6	233	35749,0
11	225,6	234	36195,0
12	295,3	235,5	47554,0
2017 1	219,7	237,6	34422,0
2	225,6	239,7	35497,0
3	240,5	241,7	37899,0
4	248,4	243,6	39225,0
5	250,4	245	39679,0
6	260,2	246,1	41454,0
7	239,6	247,3	38073,0
8	235,1	248,9	37099,0
9	241,7	250,9	38047,0
10	243,1	253,3	38333,0
11	245,8	256,3	38848,0
12	322,5	259,5	51197,0
2018 1	246,1	262,3	39017,0
2	252,2	264,2	40443,0
3	264,1	265,2	42364,0
4	270,4	265,8	43381,0
5	272,8	266,5	44076,0
6	282,7	267,4	45848,0
7	260,6	268,1	42413,0
8	254,1	268,8	41364,0
9	256,4	269,4	41774,0
10	259,2	269,8	42332,0
11	259,2	269,4	42595,0
12	335,1	268,5	55569,0
2019 1	250,7	268,1	42263,0
2	253,4	268,8	43062,0
3	271,7	270,5	46324,0
4	280,4	272,4	48030,0
5	278,7	273,8	47926,0
6	286,8	274,6	49348,0
7	269,3	275,4	46509,0
8	260,4	276,3	44961,0
9	263,8	277,6	45541,0
10	269,1	279,2	46549,0
11	266,6	281,2	46285,0
12	357,3	282,8	62239,0
2020 1	266,2	283,2	46674,0
2	267,5	282	47257,0
3	286,5	279,8	50948,0
4	274,2	277,8	49306,0
5	280,8	276,9	50747,0
6	287,5	277,6	52123,0
7	275,2	279,1	50145,0
8	261,7	280,5	47649,0
9	270,6	281,3	49259,0
10	270,0	281,3	49539,0
11	266,0	281,1	49274,0
12	371,0	281,3	69278,0
2021 1	263,8	282,1	49516,0
2	268,3	283,5	51229,0
3	287,3	285	55208,0
4	294,5	286,3	56614,0
5	289,5	287	56171,0
6	299,9	286,7	58782,0
7	280,4	286,2	55170,0
8	265,0	285,8	52355,0
9	274,8	285,8	54687,0
